regionCode,areaName,per,Cat
E12000006,East Midlands,38.17,uk-born
E12000004,East of England,36.95,uk-born
E12000007,London,43.58,uk-born
E12000001,North East,37.90,uk-born
E12000002,North West,39.08,uk-born
E12000008,South East,40.71,uk-born
E12000009,South West,41.48,uk-born
W92000004,Wales,39.31,uk-born
E12000005,West Midlands,36.89,uk-born
E12000003,Yorkshire and The Humber,37.77,uk-born
E12000006,East Midlands,43.00,Immigrant
E12000004,East of England,52.61,Immigrant
E12000007,London,55.32,Immigrant
E12000001,North East,51.02,Immigrant
E12000002,North West,44.05,Immigrant
E12000008,South East,57.01,Immigrant
E12000009,South West,54.99,Immigrant
W92000004,Wales,51.38,Immigrant
E12000005,West Midlands,41.02,Immigrant
E12000003,Yorkshire and The Humber,41.40,Immigrant