Sum of Observation,Column Labels,,,,,,,,,,,,,
,Immigrant,,,,,,,Immigrant Total,Grand Total,,,,,
Row Labels,Does not apply,Level 1 and entry level qualifications,Level 2 qualifications,Level 3 qualifications ,Level 4 qualifications or above,No qualifications,Other,,,,,,,
East Midlands,53937,58771,53386,74711,213147,150181,65247,669380,669380,,,,,
East of England,70676,68237,69521,101066,395793,160279,78797,944369,944369,,,,,
London,194701,258011,232114,346399,1631778,648692,264047,3575742,3575742,,,,,
North East,17154,12608,12481,20379,71012,32065,13441,179140,179140,,,,,
North West,86437,70633,62535,87241,293949,190524,74083,865402,865402,,,,,
South East,106995,96707,108361,171478,662100,202760,113713,1462114,1462114,,,,,
South West,45155,39762,48191,77989,241859,77921,50815,581692,581692,,,,,
Wales,17460,11157,15918,26089,84596,38805,21405,215430,215430,,,,,
West Midlands,76814,81213,67797,90530,279657,227536,78886,902433,902433,,,,,
Yorkshire and The Humber,53326,53487,45549,61836,195805,154898,57358,622259,622259,,,,,
Grand Total,722655,750586,715853,1057718,4069696,1883661,817792,10017961,10017961,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,Level,,,,,,