code,areaName,ukBorn,nonUkBorn,totPopulation,POI,year
E12000006,East,5390705,944369,6335074,14.91,2021
E12000004,East Midlands,4210674,669382,4880056,13.72,2021
E12000007,London,5223986,3575742,8799728,40.63,2021
E12000001,North East,2467870,179143,2647013,6.77,2021
E12000002,North West,6551993,865404,7417397,11.67,2021
E12000008,South East,7815950,1462115,9278065,15.76,2021
E12000009,South West,5119492,581694,5701186,10.2,2021
W92000004,Wales,2892064,215430,3107494,6.93,2021
E12000005,West Midlands,5048322,902435,5950757,15.17,2021
E12000003,Yorkshire and The Humber,4858514,622260,5480774,11.35,2021
E12000006,East,5204750,642215,5846965,10.98,2011
E12000004,East Midlands,4085011,448211,4533222,9.89,2011
E12000007,London,5175677,2998264,8173941,36.68,2011
E12000001,North East,2468313,128573,2596886,4.95,2011
E12000002,North West,6474945,577232,7052177,8.19,2011
E12000008,South East,7591430,1043320,8634750,12.08,2011
E12000009,South West,4884275,404660,5288935,7.65,2011
W92000004,Wales,2895585,167871,3063456,5.48,2011
E12000005,West Midlands,4971874,629973,5601847,11.25,2011
E12000003,Yorkshire and The Humber,4819042,464691,5283733,8.79,2011